Field p mean1 std1 mean2 std2
borg_0540-6409 0.817142939917 0.903242626736 0.200418946008 2.01597117932 0.991795045237
borg_0553-6405 0.200856070257 1.88432454471 0.995707877429 0.897734962833 0.177458627073
borg_0624-6432 0.810188842232 0.759069660085 0.110367346575 1.4393108958 0.971967194843
borg_0624-6440 0.185274376156 1.18350982386 0.904843665382 0.790556244348 0.195813557836
borg_0637-7518 0.530505136034 0.970210679603 0.565517639202 0.77169323753 0.0605917878892
borg_0751+2917 0.274934937719 1.12820999244 0.78130823367 0.815828062164 0.154030850967
borg_0756+3043 0.169177014146 1.32623163325 0.983814634907 0.790120635501 0.192302358852
borg_0808+3946 0.838423520447 0.831976678452 0.163820034755 1.71109371309 0.993261927001
borg_0819+4911 0.176540865975 1.39450249194 0.963261540952 0.801272439767 0.133361555444
borg_0820+2332 0.207841232824 1.60236989833 0.982454894582 0.826791094753 0.159910748182
borg_0835+2456 0.825460224732 0.792993104595 0.121597703473 1.42554236548 0.937641119203
