Field p mean1 std1 mean2 std2
borg_0846+7654 0.687934370298 0.816093100054 0.221590992026 0.988014904505 0.579156497261
borg_0906+0255 0.22124480784 1.19386801622 0.767354586217 0.797834640067 0.149212933327
borg_0909+0002 0.218398687487 1.26176466756 0.912532512492 0.821476514444 0.156746619111
borg_0914+2822 0.209683156882 1.71156202904 0.976244092482 0.869082163871 0.16061168721
borg_0922+4505 0.824519752105 0.867616918596 0.233196489557 1.50342789549 0.997082154873
borg_0926+4000 0.173855057065 1.37121101443 0.844270933404 0.720810511882 0.0994023694791
borg_0926+4426 0.823930269623 0.733898497372 0.105713219986 1.23748397803 0.824438656681
borg_0951+3304 0.175039674197 2.08737966182 0.99342000486 0.925521016187 0.236568124237
borg_0952+5304 0.109508986128 1.85059027511 0.99664896 0.866672943424 0.264768343218
borg_1010+3001 0.841305576798 0.786083948984 0.133608889313 1.37849394628 0.803245423874
