Field p mean1 std1 mean2 std2
borg_1358+4326 0.909102089911 0.83013782863 0.246687630504 2.39626958815 0.996843450123
borg_1358+4334 0.176857741619 1.28291014669 0.775186345178 0.786561370355 0.134572809227
borg_1408+5503 0.849553634496 0.890867810326 0.248219866898 1.85058845205 0.99631786555
borg_1416+1638 0.168977468559 1.53080298998 0.978207747648 0.825544945779 0.177621614867
borg_1429-0331 0.261870526884 1.2497799448 0.858846503635 0.828613734061 0.158921868027
borg_1437+5043_region1 0.857912362321 0.695397657211 0.0856609748372 1.42707279793 0.969534754769
borg_1437+5043_region2 0.177040665086 1.43495452218 0.874716127425 0.724845582898 0.103836575117
borg_1437+5043_region3 0.139065746389 1.17851360404 0.923693270625 0.690526366705 0.0887333044635
borg_1459+7146 0.787033291835 0.952757508976 0.192518451853 2.1280118887 0.992620780187
borg_1510+1115 0.821957298731 0.852380162815 0.194140722378 2.11515576629 0.994587906348
