Field p mean1 std1 mean2 std2
borg_1524+0954 0.218473224653 1.86248547831 0.946773428453 0.883495843491 0.183664524168
borg_1555+1108 0.855966198361 0.875923518761 0.227521795114 1.80717712005 0.997106223542
borg_1632+3733 0.229579668935 1.38752413475 0.963984467807 0.858437737176 0.16849882944
borg_1632+3737 0.185136129574 1.50274287616 0.985148783193 0.807381521974 0.133645697602
borg_2057-4412 0.835910070643 0.806425076121 0.156346655506 1.76930836519 0.975814668096
borg_2132-1202 0.179471835927 1.40948664678 0.929887312262 0.733232326253 0.104887523553
borg_2132+1004 0.132873249057 1.59916349934 0.996500878693 0.809150768196 0.199319162191
borg_2155-4411 0.149455773159 1.4829948306 0.966817876807 0.751158988314 0.130760112142
borg_2203+1851 0.201058891807 1.17936928765 0.827634693337 0.797312650373 0.156719140532
borg_2313-2243 0.158151404953 1.85940606819 0.995267828551 0.887361256148 0.21295382441
borg_2345+0054 0.787759536092 0.744376665014 0.110242505565 1.19875255282 0.876138774782
borg_2351-4332 0.785336293807 0.959155277837 0.198277324004 2.32845063929 0.990142315833
