Field p mean1 std1 mean2 std2
borg_1131+3114 0.801378146564 0.89592611532 0.193205250116 1.84996750295 0.990519029895
borg_1152+5441 0.416078849483 1.0363380525 0.670314493075 0.789002129099 0.103910459856
borg_1153+0056 0.840712894621 0.855675731744 0.23633591788 1.52127137624 0.996419641893
borg_1209+4543 0.174235590242 1.44650574002 0.961579421854 0.770409906885 0.130241727461
borg_1230+0750 0.761328699221 0.933220154344 0.184570769157 2.18406159319 0.991802944777
borg_1242+5716 0.127203995696 1.68165787208 0.900434800114 0.855802470475 0.235250626723
borg_1245+3356 0.789267864849 0.770132098238 0.122346344414 1.22074182928 0.889833054541
borg_1301+0000 0.10901940965 2.58282701596 0.996956181555 0.90507851126 0.293939237309
borg_1337+0028 0.785988248965 0.807922864812 0.137533196336 1.50662727611 0.945017151625
borg_1341+4123 0.174493817968 1.61672057011 0.977841932432 0.805551659945 0.154372502318
