Field p mean1 std1 mean2 std2
borg_1014-0423 0.150709885835 1.78232200807 0.993964759194 0.881899476073 0.213422911177
borg_1031+3804 0.84400174145 0.851970249601 0.210918703007 1.5761018172 0.996724209184
borg_1031+5052 0.161467482028 1.4048208956 0.992577810302 0.85016995099 0.232598709032
borg_1033+5051 0.194388884919 1.46320628409 0.909046604312 0.799179079645 0.130404075818
borg_1051+3359 0.195790794407 1.55602678786 0.990364939695 0.876154683103 0.181516242415
borg_1059+0519 0.493228000197 0.848742688962 0.316003007035 0.964505406389 0.553813198494
borg_1103-2330 0.821447611726 0.745774944362 0.111304426499 1.44406188195 0.977844396062
borg_1111+5545 0.814193056607 0.874385580004 0.208256797907 1.62500784421 0.994605354965
borg_1118-1858 0.85399785585 0.84548727598 0.209079906441 1.4872096784 0.99385559131
borg_1119+4026 0.891760767615 0.891341075062 0.274276164438 2.44259919829 0.997171215435
