z_obs pos_0[rad] pos_1[rad] mag_SDSS_u mag_SDSS_g mag_SDSS_r mag_SDSS_i mag_SDSS_z mag_J mag_H mag_K Mstar
0.540308 -0.000821000015594 0.00115816633161 25.9838 25.6177 24.7089 24.1801 23.9593 23.6636 23.5611 23.5281 7.62534502014
0.545467 -0.000905000015594 0.000987306331606 25.8551 25.7136 25.0235 24.6793 24.5777 24.4007 24.322 24.3284 7.0868504345
0.586928 -0.000579400015594 0.00122588633161 25.9714 25.7902 25.0782 24.6557 24.4904 24.2028 24.0312 23.9881 7.13527080268
0.560787 -0.000679400015594 0.00122655633161 24.9594 24.0741 22.9317 22.2481 21.9103 21.3914 21.0597 20.9204 9.47368981088
0.550149 -0.000912100015594 0.00136687633161 24.8388 24.2505 23.1915 22.5942 22.3486 22.0055 21.8369 21.7657 8.87851655002
0.542717 -0.000913900015594 0.000467166331606 28.2915 27.3403 26.0737 25.5257 25.3194 25.0734 25.0323 25.0536 6.67226927139
0.545469 -0.00124260001559 0.000953036331606 26.5391 26.2469 25.4505 24.9971 24.8189 24.533 24.3854 24.3385 6.98519926594
0.585529 -0.000839000015594 0.000999066331606 25.5244 23.1808 21.62 20.6712 20.2376 19.6857 19.3642 19.2419 10.400944591
0.585152 -0.000856700015594 0.00100822633161 28.7645 26.9346 25.4625 24.5213 24.0788 23.5167 23.2287 23.1261 7.03580242664
0.542112 -0.000570200015594 0.000970236331606 25.8082 25.567 24.7376 24.2973 24.1412 23.9004 23.7883 23.7635 7.80752373168
0.542766 -0.000580300015594 0.000441436331606 27.7256 27.2107 26.2117 25.5958 25.3175 24.9525 24.7881 24.7208 7.16527208526
0.570729 -0.000672700015594 0.00115479633161 25.0601 24.943 24.3394 23.9564 23.7983 23.5263 23.3622 23.3117 7.85158685674
0.589278 -0.000807900015594 0.000647456331606 25.6952 25.6015 25.0272 24.7692 24.7253 24.6084 24.54 24.5673 6.8434578982
0.586948 -0.000517200015594 0.00107568633161 27.6881 25.3522 23.7719 22.7909 22.3349 21.7488 21.4089 21.2857 8.18806582256
0.530168 -0.00120220001559 0.00138236633161 27.1649 26.2215 24.9292 24.2766 24.0178 23.6662 23.5043 23.4356 6.66042945919
0.542513 -0.00109780001559 0.000422456331606 24.1223 23.8979 23.1689 22.7372 22.5688 22.2911 22.134 22.0819 8.79080685831
0.550054 -0.000766300015594 0.00115203633161 24.9276 24.6366 23.7585 23.2847 23.104 22.8329 22.7061 22.6736 7.9322772209
0.588824 -0.000768000015594 0.00134471633161 24.9362 24.6883 23.8887 23.4758 23.3383 23.1234 23.027 23.0107 8.46466277496
0.585577 -0.000622800015594 0.000814496331606 28.7407 27.4035 26.0419 25.3195 25.018 24.6452 24.4931 24.4268 7.17656045486
0.535335 -0.000726300015594 0.00135264633161 25.6564 25.6839 25.1677 24.9408 24.9249 24.8684 24.8952 25.0029 7.50623560011
0.584539 -0.000728500015594 0.00109084633161 27.6259 25.3874 23.8352 22.8931 22.4648 21.9165 21.6121 21.5017 8.63613112271
0.593301 -0.00140900001559 0.000550356331606 28.0641 27.5532 26.5324 25.8957 25.6057 25.2148 25.0367 24.9747 6.82705766354
0.532442 -0.00144220001559 -0.000412023668394 26.1695 26.0248 25.3402 24.9654 24.8409 24.62 24.4986 24.4793 6.94329854062
0.54204 -0.00144740001559 -0.000111523668394 27.0302 26.7761 25.9446 25.502 25.334 25.097 25.0358 25.044 -0.202316533264
0.545252 -0.00112930001559 -0.000258623668394 24.4219 24.1073 23.3011 22.7971 22.5787 22.2218 22.0116 21.9369 8.68493467301
0.545018 -0.00136960001559 -0.000181323668394 24.5549 24.5563 24.0215 23.7575 23.7021 23.586 23.5343 23.5707 7.07755826867
0.559566 -0.000599200015594 -0.000113723668394 24.0434 23.8086 23.0247 22.6209 22.4957 22.2903 22.1902 22.176 8.63354612954
0.538355 -0.00112040001559 -0.000117123668394 27.6575 27.0736 25.9667 25.3563 25.1094 24.7675 24.6087 24.5554 6.92902544769
0.532005 -0.00124140001559 0.000186376331606 24.8929 22.5334 20.9872 20.0287 19.5918 19.0397 18.7249 18.6109 10.702536781
0.532248 -0.00112720001559 0.000136476331606 26.2105 25.1803 23.8974 23.1221 22.7497 22.2296 21.9348 21.8138 7.58332201397
0.590514 -0.00109910001559 0.000107976331606 25.6144 25.315 24.4588 23.9249 23.6995 23.3794 23.2291 23.1775 7.95404358209
0.58951 -0.000892100015594 9.06763316062e-05 27.1164 26.906 26.1381 25.6675 25.4651 25.178 25.0587 25.0228 7.43566893536
0.540348 -0.000564700015594 -8.23668393829e-07 27.1568 24.8429 23.3009 22.3314 21.8715 21.2744 20.936 20.7954 8.23061058898
